Year,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,ProductDensity,EngagementScore,AgeTenureInteraction,BalancePerProduct,CreditCategory,AgeGroup,HighBalanceFlag,HighSalaryFlag,LoyalCustomer,SeniorCitizen,FinancialScore,Prediction,ChurnProbability,RiskScore,RiskCategory
2025,619,France,Female,42,2,0.0,1,1,1,101348.88,1,0.0,0.3333333333333333,2,84,0.0,Fair,41-50,0,1,0,0,619.0,0,0.2806851594826943,28.07,Low
2025,608,Spain,Female,41,1,83807.86,1,0,1,112542.58,0,0.7446702868346644,0.5,1,41,41903.93,Fair,41-50,0,1,0,0,691.80786,0,0.23743316701186384,23.74,Low
2025,502,France,Female,42,8,159660.8,3,1,0,113931.57,1,1.401362226797833,0.3333333333333333,1,336,39915.2,Poor,41-50,1,1,1,0,661.6608,1,0.9278040066479376,92.78,High
2025,699,France,Female,39,1,0.0,2,0,0,93826.63,0,0.0,1.0,0,39,0.0,Good,31-40,0,0,0,0,699.0,0,0.05433666963456748,5.43,Low
2025,850,Spain,Female,43,2,125510.82,1,1,1,79084.1,0,1.5870349787760274,0.3333333333333333,2,86,62755.41,Excellent,41-50,1,0,0,0,975.51082,0,0.12859481053404453,12.86,Low
2025,645,Spain,Male,44,8,113755.78,2,1,0,149756.71,1,0.7595988213227887,0.2222222222222222,1,352,37918.59333333333,Fair,41-50,1,1,1,0,758.75578,0,0.13498984627296723,13.5,Low
2025,822,France,Male,50,7,0.0,2,1,1,10062.8,0,0.0,0.25,2,350,0.0,Excellent,41-50,0,0,1,0,822.0,0,0.08051289493514145,8.05,Low
2025,376,Germany,Female,29,4,115046.74,4,1,0,119346.88,1,0.9639613204692032,0.8,1,116,23009.348,Poor,18-30,1,1,0,0,491.04674,1,0.9699746064436022,97.0,High
2025,501,France,Male,44,4,142051.07,2,0,1,74940.5,0,1.8954927510124564,0.4,1,176,47350.35666666667,Poor,41-50,1,0,0,0,643.05107,0,0.10083955434514999,10.08,Low
2025,684,France,Male,27,2,134603.88,1,1,1,71725.73,0,1.8766208915421072,0.3333333333333333,2,54,67301.94,Good,18-30,1,0,0,0,818.60388,0,0.04410511128848108,4.41,Low
2025,528,France,Male,31,6,102016.72,2,0,0,80181.12,0,1.2723125804106952,0.2857142857142857,0,186,34005.573333333334,Poor,31-40,1,0,1,0,630.01672,0,0.04093273254538923,4.09,Low
