Customer_ID,Actual_Churn,Predicted_Churn,Churn_Probability,Risk_Level
1,1,0,0.2806851594826943,Low Risk
2,0,0,0.23743316701186384,Low Risk
3,1,1,0.9278040066479376,High Risk
4,0,0,0.05433666963456748,Low Risk
5,0,0,0.12859481053404453,Low Risk
6,1,0,0.13498984627296723,Low Risk
7,0,0,0.08051289493514145,Low Risk
8,1,1,0.9699746064436022,High Risk
9,0,0,0.10083955434514999,Low Risk
10,0,0,0.04410511128848108,Low Risk
11,0,0,0.04093273254538923,Low Risk
12,0,0,0.021368727920787933,Low Risk
13,0,0,0.02645103953999076,Low Risk
14,0,0,0.03357002895562428,Low Risk
15,0,0,0.028349827295219836,Low Risk
16,0,0,0.22707950618106595,Low Risk
17,1,1,0.9295176933456106,High Risk
18,0,0,0.022866085360815625,Low Risk
19,0,1,0.5311614843481046,Medium Risk
20,0,0,0.019819414108105973,Low Risk
21,0,0,0.0226076767294749,Low Risk
22,0,0,0.029109953185234072,Low Risk
23,1,0,0.30000660529791817,Medium Risk
24,0,0,0.07342928646962739,Low Risk
25,0,0,0.2069547669955515,Low Risk
26,0,0,0.01665707289003926,Low Risk
27,0,0,0.16585066380345712,Low Risk
28,0,0,0.07235825670105549,Low Risk
29,0,0,0.438320473459329,Medium Risk
30,0,0,0.03656550879374439,Low Risk
31,1,1,0.7198510766068635,High Risk
32,0,0,0.09352586057035688,Low Risk
33,0,0,0.14045710459314859,Low Risk
34,0,0,0.04131938481650912,Low Risk
35,0,0,0.024173118186587347,Low Risk
36,1,1,0.530129490241945,Medium Risk
37,0,0,0.06978799042468026,Low Risk
38,0,0,0.0659929007789724,Low Risk
39,0,0,0.12065993245223545,Low Risk
40,0,0,0.0391188830430071,Low Risk
41,0,0,0.32562523246872144,Medium Risk
42,1,1,0.7844705748701483,High Risk
43,0,0,0.21895901718417435,Low Risk
44,1,1,0.5638302522965081,Medium Risk
45,0,0,0.20214910582845905,Low Risk
46,0,0,0.062359793048333646,Low Risk
47,1,0,0.17942105327961738,Low Risk
48,1,0,0.33932698177484755,Medium Risk
49,0,0,0.25326303269167466,Low Risk
50,0,0,0.127761011454456,Low Risk
51,0,0,0.20309248633090535,Low Risk
52,0,0,0.07463468100577167,Low Risk
53,0,0,0.02754915396793501,Low Risk
54,1,0,0.4467740050309626,Medium Risk
55,1,0,0.40825160706074987,Medium Risk
56,0,0,0.14599710937275412,Low Risk
57,0,0,0.3744340457287777,Medium Risk
58,0,0,0.10166489789011623,Low Risk
59,1,1,0.8844131787247801,High Risk
60,0,0,0.3564822235393127,Medium Risk
61,0,0,0.25545834881887614,Low Risk
62,0,0,0.06752811753783064,Low Risk
63,0,0,0.030380104254084665,Low Risk
64,0,0,0.22674330549293334,Low Risk
65,0,0,0.16299587376202052,Low Risk
66,0,0,0.06235209258540885,Low Risk
67,0,0,0.2121349180346918,Low Risk
68,0,0,0.14619645266917877,Low Risk
69,0,0,0.08141954375750088,Low Risk
70,0,0,0.10551450684692035,Low Risk
71,1,1,0.9958211108822357,High Risk
72,0,0,0.16232725045862254,Low Risk
73,0,0,0.11994933349490904,Low Risk
74,0,0,0.06448525791483915,Low Risk
75,0,0,0.020501104134629425,Low Risk
76,0,0,0.09359237686154392,Low Risk
77,0,0,0.07578683594226127,Low Risk
78,0,0,0.15049580747088026,Low Risk
79,0,0,0.10260319401773675,Low Risk
80,0,0,0.25165396208816365,Low Risk
81,0,0,0.054446909641997755,Low Risk
82,1,0,0.23573945208102856,Low Risk
83,0,0,0.03613981285780569,Low Risk
84,0,0,0.09545277870084067,Low Risk
85,0,0,0.16615265195357198,Low Risk
86,0,0,0.017974899109492903,Low Risk
87,1,0,0.10033672127595365,Low Risk
88,0,0,0.01931728774925977,Low Risk
89,1,1,0.8310337933357327,High Risk
90,0,0,0.02824252037479505,Low Risk
91,1,1,0.9312902849023319,High Risk
92,0,0,0.18597013725895795,Low Risk
93,0,0,0.03935759299241405,Low Risk
94,0,0,0.014626912960903392,Low Risk
95,0,0,0.029620415119096178,Low Risk
96,0,0,0.11285983574391956,Low Risk
97,0,0,0.1044836156437648,Low Risk
98,0,0,0.04680103395220938,Low Risk
99,0,0,0.021068975303766002,Low Risk
100,0,0,0.03558939991725562,Low Risk
101,0,0,0.27821181726635635,Low Risk
102,0,0,0.12190777509699303,Low Risk
103,0,0,0.0949882400714353,Low Risk
104,0,0,0.025366536805692896,Low Risk
105,1,0,0.29320435683249935,Low Risk
106,1,0,0.1973418890316677,Low Risk
107,0,0,0.08057975300828277,Low Risk
108,0,0,0.22528096608299142,Low Risk
109,0,0,0.10384706357127708,Low Risk
110,1,0,0.21490114936146218,Low Risk
111,0,0,0.10891302505132744,Low Risk
112,0,0,0.14625111961900208,Low Risk
113,0,0,0.19335685105205594,Low Risk
114,0,0,0.07955729095774113,Low Risk
115,1,0,0.0461341688773572,Low Risk
116,0,0,0.06943347329076972,Low Risk
117,0,0,0.18213810432355587,Low Risk
118,0,0,0.061203400088687174,Low Risk
119,1,0,0.3948141524687908,Medium Risk
120,0,0,0.06165392376932295,Low Risk
121,0,0,0.0375949372454227,Low Risk
122,0,0,0.13709301287009942,Low Risk
123,0,0,0.056270488770560866,Low Risk
124,0,1,0.6127078485833338,Medium Risk
125,0,0,0.23698824531104073,Low Risk
126,1,0,0.20379501147148588,Low Risk
127,1,1,0.6430650299573663,Medium Risk
128,1,1,0.9185235124608396,High Risk
129,0,0,0.062029303720197736,Low Risk
130,0,0,0.07876518051005967,Low Risk
131,0,0,0.020098907391103777,Low Risk
132,0,0,0.17087197466975973,Low Risk
133,0,0,0.07174567218291089,Low Risk
